ACCESSION: MycoMSB-HZI-003293
RECORD_TITLE: Saccalasin A; timsTOF; MS2; CE:36.0; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1007/s11557-018-1413-6
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Saccalasin A
CH$FORMULA: C28H35NO2
CH$EXACT_MASS: 417.2668
CH$SMILES: C
CH$IUPAC: InChI=1S/C28H35NO2/c1-18-9-8-12-23-16-20(3)21(4)26-24(17-22-10-6-5-7-11-22)29-27(31)28(23,26)25(30)14-13-19(2)15-18/h5-8,10-14,16,18-19,21,23-24,26H,9,15,17H2,1-4H3,(H,29,31)/b12-8+,14-13-/t18-,19-,21+,23-,24-,26-,28+/m0/s1
CH$LINK: INCHIKEY IGFYOFOQFNFWGG-HOFBHRKTSA-N
SP$SCIENTIFIC_NAME: Daldinia sacchari
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 36.0
AC$MASS_SPECTROMETRY: CCS 199.1932830810547
MS$FOCUSED_ION: BASE_PEAK 418.27406
MS$FOCUSED_ION: PRECURSOR_M/Z 418.27406
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0udi-0792100000-f4d9d96ec38004876767
PK$NUM_PEAK: 264
PK$PEAK: m/z int. rel.int.
  115.05426 0.0242195 24
  116.06195 0.014665 15
  117.07028 0.0418842 42
  118.07425 0.0115543 12
  119.08585 0.0633263 63
  120.07814 0.0117765 12
  121.10167 0.0628819 63
  122.02307 0.028108 28
  123.11559 0.0119987 12
  128.06220 0.0132208 13
  129.06836 0.0284413 28
  131.04793 0.00966559 10
  131.08621 0.0295523 30
  133.10049 0.0377736 38
  135.08241 0.0105544 11
  135.11332 0.00577714 6
  141.07024 0.0199978 20
  142.07826 0.0209977 21
  143.08405 0.0261082 26
  144.08264 0.0997667 100
  145.07615 0.0147761 15
  145.10097 0.0735474 73
  146.05940 0.0102211 10
  146.11045 0.0129986 13
