ACCESSION: MycoMSB-HZI-003295
RECORD_TITLE: Saccalasin A; timsTOF; MS2; CE:41.55813953488372; [2M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1007/s11557-018-1413-6
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Saccalasin A
CH$FORMULA: C28H35NO2
CH$EXACT_MASS: 417.2668
CH$SMILES: C
CH$IUPAC: InChI=1S/C28H35NO2/c1-18-9-8-12-23-16-20(3)21(4)26-24(17-22-10-6-5-7-11-22)29-27(31)28(23,26)25(30)14-13-19(2)15-18/h5-8,10-14,16,18-19,21,23-24,26H,9,15,17H2,1-4H3,(H,29,31)/b12-8+,14-13-/t18-,19-,21+,23-,24-,26-,28+/m0/s1
CH$LINK: INCHIKEY IGFYOFOQFNFWGG-HOFBHRKTSA-N
SP$SCIENTIFIC_NAME: Daldinia sacchari
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 41.55813953488372
AC$MASS_SPECTROMETRY: CCS 285.666259765625
MS$FOCUSED_ION: BASE_PEAK 835.54084
MS$FOCUSED_ION: PRECURSOR_M/Z 835.54084
MS$FOCUSED_ION: PRECURSOR_TYPE [2M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0uxr-0253900000-b5f4dfc215e9258cbd4f
PK$NUM_PEAK: 107
PK$PEAK: m/z int. rel.int.
  109.10323 0.0147166 15
  117.06895 0.0105493 11
  119.08651 0.0344164 34
  120.08219 0.0081597 8
  123.11628 0.00740201 7
  123.11939 0.00740201 7
  133.10137 0.0669678 67
  134.10468 0.0134926 13
  137.09695 0.00693574 7
  144.08107 0.0208947 21
  145.10064 0.00539123 5
  147.11639 0.0539997 54
  148.11902 0.00798485 8
  149.13254 0.0106367 11
  155.08437 0.00687746 7
  157.09656 0.00882996 9
  157.10449 0.0205158 20
  159.11230 0.00775171 8
  161.13160 0.0352615 35
  171.11560 0.0113944 11
  172.07523 0.263442 263
  173.07877 0.0496576 50
  174.09206 0.00912138 9
  174.09725 0.00912138 9
  183.11932 0.00591578 6
  185.13360 0.00862597 9
  187.14643 0.00781 8
  189.16171 0.018913 19
  200.07093 0.0958764 96
  200.08044 0.0062072 6
  201.07641 0.0118316 12
  201.16200 0.0164068 16
  202.07382 0.00507067 5
  202.08780 0.0436252 44
  203.17960 0.684016 683
  204.18327 0.123853 124
  204.19312 0.0165525 17
  205.18196 0.00568265 6
  216.09997 0.0576424 58
  217.10449 0.00597406 6
  217.19683 0.011511 11
  218.20269 0.00693574 7
  219.21053 0.00909223 9
  225.16149 0.0109573 11
  226.11983 0.00958764 10
  226.12623 0.00958764 10
  227.13239 0.00868425 9
  227.17904 0.198485 198
  228.18582 0.0451115 45
  229.19846 0.007606 8
  230.11667 0.00501239 5
  232.12952 0.00544951 5
  239.12698 0.00976249 10
  245.18732 0.00979164 10
  252.13771 0.00591578 6
  253.19377 0.00821798 8
  254.15442 0.00897567 9
  270.15352 0.00542037 5
  271.20484 0.0104036 10
  278.14894 0.00667347 7
  280.16792 0.00897567 9
  282.18834 0.0053038 5
  292.17191 0.0172811 17
  304.16892 0.0124144 12
  305.17234 0.0117733 12
  306.18558 0.0136384 14
  309.20793 0.0272767 27
  310.17609 0.0107825 11
  310.18297 0.0107825 11
  316.16663 0.0164068 16
  318.18614 0.0940114 94
  319.18641 0.0166691 17
  320.20062 0.00842197 8
  321.20389 0.00664432 7
  322.17905 0.0329593 33
  323.18047 0.00716888 7
  324.19417 0.0116567 12
  325.20274 0.00594492 6
  330.18397 0.167186 167
  331.18828 0.0400117 40
  332.19951 0.0493662 49
  333.20345 0.0114236 11
  334.19412 0.00614891 6
  334.20344 0.014192 14
  334.21085 0.014192 14
  335.17852 0.0062072 6
  335.22148 0.00501239 5
  344.20119 0.0575841 58
  345.20172 0.014804 15
  346.21707 0.0072563 7
  348.19669 0.026519 26
  372.26638 0.0166108 17
  374.27413 0.00533294 5
  375.26589 0.00900481 9
  376.26450 0.00952936 10
  383.22678 0.00521638 5
  390.27625 0.00716888 7
  400.24510 0.0058575 6
  400.26227 1 999
  400.28392 0.00509981 5
  401.26623 0.319044 319
  402.25530 0.00614891 6
  402.27040 0.03905 39
  418.27324 0.909573 909
  418.29561 0.00644033 6
  419.27711 0.248375 248
  420.27936 0.0332799 33
//
