ACCESSION: MycoMSB-HZI-003298
RECORD_TITLE: Bis-Heimiomycin B; timsTOF; MS2; CE:38.72093023255814; [M+H]+
DATE: 2026.06.26
AUTHORS: Charrià-Girón E, Surup F
LICENSE: CC BY
COPYRIGHT: Helmholtz Centre for Infection Research (HZI)
PUBLICATION: doi:10.1021/acs.jnatprod.2c01015
COMMENT: Converted from Bruker MetaboScape .library export
CH$NAME: Bis-Heimiomycin B
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C36H40O9
CH$EXACT_MASS: 616.2672
CH$SMILES: CC(C)C1(CCC(C)(C2=C1C(=C(C=O)C(=C2O)O)C3=C(C(C=4C5=C(COC4C3=O)C(=C(C=6C(C)(CCC(C(C)C)(C65)[H])[H])O)O)=O)O)[H])[H]
CH$IUPAC: InChI=1S/C36H40O9/c1-13(2)17-9-7-15(5)21-23(17)25(19(11-37)29(38)31(21)40)27-33(42)34(43)28-26-20(12-45-36(28)35(27)44)30(39)32(41)22-16(6)8-10-18(14(3)4)24(22)26/h11,13-18,38-42H,7-10,12H2,1-6H3
CH$LINK: INCHIKEY RJFIFLLNROWBAM-WNRNVDISSA-N
SP$SCIENTIFIC_NAME: Heimiomyces sp.
AC$INSTRUMENT: timsTOF Pro, Bruker Daltonics
AC$INSTRUMENT_TYPE: TIMS-TOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 38.72093023255814
AC$MASS_SPECTROMETRY: CCS 252.00347900390625
MS$FOCUSED_ION: BASE_PEAK 617.27451
MS$FOCUSED_ION: PRECURSOR_M/Z 617.27451
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
MS$DATA_PROCESSING: Converted with library_to_massbank.py
PK$SPLASH: splash10-0gc4-0000490000-86613451cd92c007615c
PK$NUM_PEAK: 256
PK$PEAK: m/z int. rel.int.
  111.11715 0.00707112 7
  191.03627 0.00528769 5
  219.10091 0.00866681 9
  253.12461 0.00910485 9
  255.13645 0.0138294 14
