accession	name	prec_mz	exact_mass	diff	best_adduct	best_diff
MycoMSB-HZI-000016	Orsellinic acid	151.03897050441	166.063	-15.024029495589986	[M+H-H2O]+	1.9792595044100096
MycoMSB-HZI-000030	"6""-hidroxymitorubrinol acetate"	373.2009660171019	456.1056	-82.90463398289808	[M+H-2H2O]+	47.890779982898096
MycoMSB-HZI-000031	"6""-hidroxymitorubrinol acetate"	395.18272124337733	456.1056	-60.92287875662265	[M+H-2H2O]+	25.90902475662267
MycoMSB-HZI-000043	(3aS)-7-hydroxy-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	247.13287089117003	230.1307	17.00217089117004	[M+NH4]+	1.0319931088299654
MycoMSB-HZI-000046	(3aS)-7-hydroxy-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	247.13287089117003	230.1307	17.00217089117004	[M+NH4]+	1.0319931088299654
MycoMSB-HZI-000063	(3aS)-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	253.11990052134	246.1256	6.994300521340023	[M+H]+	5.987024521340032
MycoMSB-HZI-000064	(3aS)-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	213.12739158751	246.1256	-32.99820841248999	[M+H-2H2O]+	2.015645587510022
MycoMSB-HZI-000065	(3aS)-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	231.13795627157	246.1256	-14.987643728429987	[M+H-H2O]+	2.0156452715700084
MycoMSB-HZI-000066	(3aS)-3a,5,5,8-tetramethyl-3,3a,4,5-tetrahydro-1Hcyclopenta[de]isochromen-1-one	231.13795627157	246.1256	-14.987643728429987	[M+H-H2O]+	2.0156452715700084
MycoMSB-HZI-000458	Aphidicolin	641.47757	338.2457	303.23187	[2M+H]+	36.02110600000003
MycoMSB-HZI-000459	Aphidicolin	659.48813	338.2457	321.24242999999996	[2M+H]+	18.01054600000009
MycoMSB-HZI-000485	Trypacidin	313.07043	344.0896	-31.01917000000003	[M+H-2H2O]+	3.9946839999999497
MycoMSB-HZI-000489	Connatusin A	511.32895	266.1518	245.17715000000004	[2M+H]+	21.981925999999987
MycoMSB-HZI-000595	3-Deoxyaphidicolin	269.22638	322.2508	-53.02442000000002	[M+H-2H2O]+	18.01056600000004
MycoMSB-HZI-000654	Isofusidienol A	269.04445	300.0634	-31.018950000000018	[M+H-2H2O]+	3.9949039999999627
MycoMSB-HZI-000759	Microporenic acid A	995.50792	464.2774	531.2305200000001	[2M+Na]+	43.96390199999996
MycoMSB-HZI-000781	Pestabacillin B	1119.60718	252.1725	867.43468	[2M+Na]+	592.2729619999999
MycoMSB-HZI-000782	Pestabacillin B	1097.62523	252.1725	845.4527300000001	[2M+Na]+	570.291012
MycoMSB-HZI-000783	Pestabacillin B	549.31625	252.1725	297.14374999999995	[2M+Na]+	21.98203199999989
MycoMSB-HZI-000784	Pestabacillin B	801.4888	252.1725	549.3163	[2M+Na]+	274.1545819999999
MycoMSB-HZI-000816	Sterigmatocystin	995.17939	324.0634	671.11599	[2M+Na]+	324.06337199999996
MycoMSB-HZI-000992	Myrocin B	305.11722	358.1416	-53.02438000000001	[M+H-2H2O]+	18.010526000000027
